,Date,Close,Open,High,Low,Volume,Change
53,2020-03-19,1457.64,1626.09,1626.09,1439.43,977670000.0,-0.0839
54,2020-03-20,1566.15,1498.49,1566.82,1466.48,817020000.0,0.07440000000000001
55,2020-03-23,1482.46,1474.45,1516.75,1458.41,647530000.0,-0.053399999999999996
56,2020-03-24,1609.97,1523.69,1609.97,1508.68,679290000.0,0.086
57,2020-03-25,1704.76,1668.19,1707.64,1645.28,872810000.0,0.058899999999999994
58,2020-03-26,1686.24,1699.11,1735.75,1679.23,992470000.0,-0.0109
59,2020-03-27,1717.73,1756.07,1759.05,1668.21,1080000000.0,0.0187
60,2020-03-30,1717.12,1670.34,1729.63,1659.95,767780000.0,-0.0004
61,2020-03-31,1754.64,1739.29,1757.81,1722.62,1040000000.0,0.0219
62,2020-04-01,1685.46,1737.28,1762.44,1685.37,1240000000.0,-0.0394
63,2020-04-02,1724.86,1693.53,1726.76,1664.13,766310000.0,0.023399999999999997
64,2020-04-03,1725.44,1731.17,1743.91,1706.68,1000000000.0,0.0003
65,2020-04-06,1791.88,1745.25,1794.19,1742.67,1220000000.0,0.0385
66,2020-04-07,1823.6,1826.72,1838.97,1791.92,951740000.0,0.0177
67,2020-04-08,1807.14,1815.75,1842.16,1801.8,907490000.0,-0.009000000000000001
68,2020-04-09,1836.21,1838.09,1839.33,1818.3,920570000.0,0.0161
69,2020-04-10,1860.7,1835.76,1861.1,1824.43,992550000.0,0.013300000000000001
70,2020-04-13,1825.76,1853.3,1853.3,1825.76,1020000000.0,-0.018799999999999997
71,2020-04-14,1857.08,1846.41,1864.46,1837.17,886770000.0,0.0172
72,2020-04-16,1857.07,1839.51,1862.23,1828.13,878340000.0,-0.0
73,2020-04-17,1914.53,1893.31,1926.02,1893.19,1670000000.0,0.030899999999999997
74,2020-04-20,1898.36,1908.34,1925.25,1893.17,1090000000.0,-0.0084
75,2020-04-21,1879.38,1886.78,1898.32,1841.66,1170000000.0,-0.01
76,2020-04-22,1896.15,1855.51,1897.9,1844.85,820360000.0,0.0089
77,2020-04-23,1914.73,1907.45,1923.53,1895.98,683720000.0,0.0098
78,2020-04-24,1889.01,1906.07,1908.29,1880.71,933920000.0,-0.0134
79,2020-04-27,1922.77,1897.06,1929.82,1894.62,735660000.0,0.0179
80,2020-04-28,1934.09,1931.25,1941.79,1911.63,1170000000.0,0.0059
81,2020-04-29,1947.56,1936.89,1957.51,1934.31,1980000000.0,0.006999999999999999
